"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"ARAYAPIN";"GARAGE ARAYAPIN";43013824800017;"FR88430138248  "
"GRRCEIRL";"GARAGE G.R.R.C EIRL";53948006100016;"FR45539480061  "
"IMPACTPRESTACOM";"IMPACT PRESTACOM";49032001700026;"FR71490320017  "
"TOPCARMARTINIQUE";"TOP CAR MARTINIQUE";89135996000012;"FR91891359960  "
"SALINESERVICE";"SALINE SERVICE RAPIDE";84095232900018;"FR04840952329  "
"ACS";"ACS AUTO CLIMATISATION SERVICE";44411655200019;"FR57444116552  "
"DJCARROSSERIE";"DJ CARROSSERIE";45249013900048;"FR49452490139  "
"CENTREAUTOPLATEAU";"CENTRE AUTOMOBILE PLATEAU CAILLOU";75314897200015;"FR29753148972  "
"CENTREAUTOPC";"CENTRE AUTOMOBILE PLATEAU";75314897200015;"FR29753148972  "
"FBNEGOCE";"FBNEGOCE";43866788300047;"FR05438667883  "
"CESAR";"GARAGE CESAR";35076969100014;"FR26350769691  "
"CENTREAUTOSPORTOU";"CENTRE AUTO SPORT OUEST";89299201700020;"FR90892992017  "
